Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,3.418,1662.99,4883.00,"Ellicott City, MD 210421525
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.451,1825.39,4929.70,"Silver Spring, MD 209014326
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.436,1644.90,4909.00,"Catonsville, MD 212285620
(39.2773199998183, -76.73769999965509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.457,1793.30,4938.00,"Potomac, MD 208546204
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.443,1137.00,4918.10,"Rockville, MD 208546134
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.42,1198.41,4885.00,"Rockville, MD 208502489
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,3.43,1780.33,4900.55,"Easton, MD 216018257
(38.7769499999427, -76.07552000044751)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.448,1823.00,4925.00,"Potomac, MD 208544076
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,3.448,1788.75,4925.00,"University Park, MD 207821413
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.408,1629.15,4869.00,"potomac, MD 208543719
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,3.506,1743.15,5009.00,"West Ocean City, MD 218429715
(38.391550000432346, -75.07021000039106)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.514,1769.50,5020.00,"Cockeysville, MD 210301024
(39.4753900003484, -76.63367999973207)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.486,1842.97,4979.89,"Silver Spring, MD 209101445
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.497,1600.00,4995.00,"Timonium, MD 210932019
(39.442239999576486, -76.63726999981048)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.502,1558.80,5003.00,"Kingsville, MD 210871160
(39.44949999982532, -76.4135499999324)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.484,1841.88,4977.00,"Silver Spring, MD 209012601
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.465,1832.50,4950.00,"Rockville, MD 208523409
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.514,1856.80,5019.43,"Germantown, MD 208743203
(39.166079999692386, -77.2739700003151)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,3.496,1001.95,4994.00,"Baltimore, MD 212093614
(39.37412000043781, -76.6702000003296)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.516,1647.38,5022.93,"Silver Spring, MD 209101606
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,3.56,1654.25,5086.20,"Severna Park, MD 211462444
(39.080199999930244, -76.5567400003506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,3.564,1847.23,5092.06,"Oxford, MD 216540159
(38.68540999997168, -76.14127000001037)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.595,1862.58,5135.95,"Rockville, MD 208503060
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.57,1605.00,5100.00,"Silver Spring, MD 209105540
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,3.556,1600.00,5080.00,"Forest Hill, MD 210503000
(39.573239999926216, -76.38520000017974)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.572,1746.09,5103.14,"Potomac, MD 208542804
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Dorchester,3.548,1739.15,5069.00,"Cambridge, MD 216131528
(38.56205999986929, -76.0877499996626)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.564,1846.85,5091.00,"Silver Spring, MD 209063102
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,3.681,1940.30,5258.00,"Davidsonville, MD 210351216
(38.93626999956098, -76.633130000449)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.655,1827.53,5221.50,"Silver Spring, MD 209041408
(39.06570000035492, -76.97212999969958)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.71,1920.00,5300.00,"Chevy Chase, MD 208154157
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.641,1885.43,5201.25,"Chevy Chase, MD 208153924
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.745,1937.50,5350.00,"Bethesda, MD 208144001
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.633,1813.25,5190.00,"Takoma Park, MD 209124138
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.726,1823.05,5323.00,"North Potomac, MD 208782533
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,3.661,1790.50,5230.00,"Ellicott City, MD 210436711
(39.25913000004965, -76.80269999970506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.62,1857.70,5172.00,"Potomac, MD 208783987
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,3.793,1856.65,5419.00,"Manchester, MD 211022149
(39.68271000026647, -76.86535999976405)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.889,1944.25,5555.00,"Silver Spring, MD 209031042
(39.011170000195534, -76.98320000027962)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.892,2045.81,5559.45,"Chevy Chase, MD 208153846
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.824,1456.25,5463.00,"Catonsville, MD 212283433
(39.2773199998183, -76.73769999965509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.78,1850.00,5400.00,"Bethesda, MD 208141333
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,3.88,1882.55,5543.00,"Ellicott City, MD 210436610
(39.25913000004965, -76.80269999970506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,3.794,1628.11,5420.03,"Grasonville, MD 216381252
(38.95210999977684, -76.20538999994841)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,3.889,1600.00,5556.00,"Forest Hill, MD 210501311
(39.573239999926216, -76.38520000017974)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.955,2042.50,5650.00,"Timonium, MD 210933407
(39.442239999576486, -76.63726999981048)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,3.951,1917.90,5644.00,"Eldersburg, MD 217846863
(39.39960000004015, -76.96358999977849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.935,2327.02,5621.69,"Dickerson, MD 208429202
(39.21826999986075, -77.40863000037405)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.928,1778.74,5611.40,"Bethesda, MD 208142826
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.92,2060.00,5600.00,"Silver Spring, MD 209101536
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.92,1845.00,5600.00,"Silver Spring, MD 209045477
(39.06570000035492, -76.97212999969958)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Caroline,3.892,2011.06,5560.20,"Greensboro, MD 216391469
(38.96743000029443, -75.80228000032162)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,3.949,2074.69,5642.00,"Baltimore, MD 212141615
(39.352089999853774, -76.56387999956218)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,3.927,2028.56,5610.17,"Bozman, MD 216120267
(38.754330000029654, -76.28717000039507)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.898,1512.68,5569.22,"Rockville, MD 208545545
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.922,2299.75,5603.00,"Gaithersburg, MD 208824411
(39.228170000445346, -77.16269999970507)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,4.06,1600.00,5800.00,"Baltimore, MD 212292133
(39.28435000025246, -76.69177000038508)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.015,1766.25,5736.00,"Towson, MD 212044227
(39.402319999568476, -76.6159899996386)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.01,2069.96,5728.45,"Montgomery Village, MD 208861401
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.06,1920.00,5800.00,"Carney, MD 212341815
(39.38911000012655, -76.5410800003416)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,4.028,1600.00,5754.00,"Baltimore, MD 212092628
(39.37412000043781, -76.6702000003296)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.047,1600.00,5781.00,"Lutherville, MD 210934717
(39.442239999576486, -76.63726999981048)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,4.006,2103.05,5723.00,"Baltimore, MD 212064102
(39.33622000005312, -76.54174000020072)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.955,2077.50,5650.00,"Potomac, MD 208543946
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.022,2110.75,5745.00,"Silver Spring, MD 209056421
(39.106229999714856, -76.99006999963063)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,3.976,1965.50,5680.00,"Ownings Mills, MD 211171334
(39.41747999990224, -76.78530000039456)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,3.99,1883.25,5700.00,"Baltimore, MD 212094211
(39.37412000043781, -76.6702000003296)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Kent,3.959,1302.05,5655.72,"Galena, MD 216351222
(39.34724000012608, -75.84571999987793)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.163,2151.46,5947.75,"Potomac, MD 208544273
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,4.136,2132.92,5908.34,"St. Michaels, MD 216632319
(38.78567000007064, -76.22500000044948)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.14,2170.21,5914.95,"Kensington, MD 208953230
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.149,2039.53,5927.22,"Derwood, MD 208551630
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Somerset,4.179,2154.67,5970.49,"Princess Anne, MD 218534312
(38.206260000198995, -75.70791000024616)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.081,1668.00,5830.00,"Baltimore, MD 212391645
(39.363109999926735, -76.58872000022768)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.078,2035.68,5825.50,"Chevy Chase, MD 208155906
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.13,2165.00,5900.00,"Silver Spring, MD 209023254
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,4.094,1937.15,5849.00,"Taneytown, MD 217871618
(39.666330000329424, -77.1689199996581)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.105,2117.40,5864.00,"Bethesda, MD 208161052
(38.9582699996609, -77.11435999991392)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.165,2147.00,5950.00,"Silver Spring, MD 209102138
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.174,2187.12,5963.21,"Gaithersburg, MD 208823818
(39.228170000445346, -77.16269999970507)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,4.294,2211.80,6133.72,"Oxford, MD 216540313
(38.68540999997168, -76.14127000001037)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.274,2236.75,6105.00,"North Potomac, MD 208782563
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,4.217,2208.40,6024.00,"Pylesville, MD 211321816
(39.69513999971139, -76.42645999992891)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.27,2235.00,6100.00,"Bethesda, MD 208163129
(38.9582699996609, -77.11435999991392)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.281,2240.64,6116.13,"North Potomac, MD 208784837
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.238,2061.40,6054.00,"Fork, MD 210519721
(39.470679999882236, -76.4493800001867)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,4.222,2211.10,6032.00,"Saint Michaels, MD 216632824
(38.78567000007064, -76.22500000044948)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,4.237,1928.49,6052.34,"St Michaels, MD 216630000
(38.78567000007064, -76.22500000044948)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,4.214,1844.73,6019.95,"Columbia, MD 210451838
(39.20683000020449, -76.82763000002433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.209,2204.40,6012.60,"Chevy Chase, MD 208155025
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.381,2133.00,6259.00,"Towson, MD 212861337
(39.40011000017654, -76.58472999968956)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,4.34,1705.00,6200.00,"Baltimore, MD 212293240
(39.28435000025246, -76.69177000038508)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.32,2120.19,6172.00,"Potomac, MD 208543911
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,4.34,1600.00,6200.00,"Gambrills, MD 210541150
(38.986801603111644, -76.6637349998702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.373,2268.42,6246.50,"Rockville, MD 208551705
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.305,2012.50,6150.00,"Gaithersburg, MD 208782235
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.351,1794.35,6215.81,"Olney, MD 208321875
(39.15293000031943, -77.07117999975702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.362,2245.94,6231.75,"Chevy Chase, MD 208155030
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.298,2160.41,6140.43,"Boyds, MD 208414355
(39.18732079122168, -77.32649249962901)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Wicomico,4.37,2250.19,6243.43,"Delmar, MD 218752259
(38.44256999970588, -75.56286999995041)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.295,2054.75,6135.00,"Silver Spring, MD 209105005
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.403,2266.50,6290.00,"Silver Spring, MD 209062073
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.509,2214.46,6441.34,"Kensington, MD 208952761
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.389,2014.50,6270.00,"Bethesda, MD 208176203
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,4.48,1600.00,6400.00,"Glen Burnie, MD 210607626
(39.16434999995272, -76.59570999971658)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.415,2272.59,6307.40,"North Potomac, MD 208784311
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.48,1780.00,6400.00,"Derwood, MD 208551146
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.442,2180.92,6345.50,"Darnestown, MD 208783507
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,4.48,2217.50,6400.00,"Forest Hill, MD 210502210
(39.573239999926216, -76.38520000017974)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,4.474,1949.07,6391.45,"Easton, MD 216017621
(38.7769499999427, -76.07552000044751)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.468,2299.21,6383.45,"Silver Spring, MD 209102742
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.522,1830.00,6460.00,"Baltimore, MD 212094208
(39.37412000043781, -76.6702000003296)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,4.615,2372.37,6592.49,"Stevensville, MD 216663309
(38.947400000209996, -76.33155000013227)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Washington,4.578,2340.00,6540.00,"Boonsboro, MD 217131833
(39.52252999965992, -77.66468000008177)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,4.574,2176.90,6534.00,"Bowie, MD 207205407
(38.9557181985362, -76.79009999961517)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.576,1806.22,6537.13,"Chevy Chase, MD 208155161
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.565,2084.76,6520.95,"Potomac, MD 208544256
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,4.54,1787.00,6485.00,"Annapolis, MD 214012230
(38.983799999770326, -76.52959999974007)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Cecil,4.571,2385.50,6530.00,"Elkton, MD 219214440
(39.6250899997039, -75.84549000006331)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.578,2353.58,6540.69,"Baltimore, MD 212391644
(39.363109999926735, -76.58872000022768)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.61,2405.03,6585.80,"Gaithersburg, MD 208785758
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Dorchester,4.653,2391.58,6647.37,"Cambridge, MD 216132617
(38.56205999986929, -76.0877499996626)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,4.626,2377.96,6608.46,"Easton, MD 216017508
(38.7769499999427, -76.07552000044751)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.726,1599.79,6752.12,"Bethesda, MD 208173603
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,4.706,2279.80,6723.00,"Sparks, MD 211529728
(39.533359999964205, -76.65988999972353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.725,2112.50,6750.00,"Silver Spring, MD 209031111
(39.011170000195534, -76.98320000027962)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.676,2438.00,6680.00,"Rockville, MD 208501912
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,4.732,2466.00,6760.00,"Ellicott City, MD 210422249
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.654,2426.89,6648.25,"Rockville, MD 208523627
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.69,2375.00,6700.00,"North Potomac, MD 208782576
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.66,2429.80,6656.60,"Bethesda, MD 208171432
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.741,2330.57,6773.09,"Silver Spring, MD 209011030
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.895,2547.00,6993.00,"Potomac, MD 208545437
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.795,2185.17,6850.00,"Potomac, MD 208543863
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.785,2492.25,6835.00,"Silver Spring, MD 209104229
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.812,2506.12,6874.65,"Potomac, MD 208543326
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.827,2513.25,6895.00,"Silver Spring, MD 209105121
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.854,2425.73,6934.37,"Kensington, MD 208952407
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,4.752,2475.80,6788.00,"Westminster, MD 211576428
(39.55741999973338, -76.98679999991992)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,4.751,2328.44,6786.60,"Annapolis, MD 214035023
(38.95672000012809, -76.48971000021618)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.795,905.00,6850.00,"Kensington, MD 208654025
(39.026150000322446, -77.07451000043602)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.908,2555.96,7012.02,"Silver Spring, MD 209042903
(39.06570000035492, -76.97212999969958)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.789,2494.69,6842.00,"Silver Spring, MD 209104665
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,St. Mary's,5.031,2580.44,7187.00,"Lexington Park, MD 206533447
(38.25154000007109, -76.4533699998255)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,4.973,2057.80,7104.25,"Millersville, MD 211081713
(39.10140999957201, -76.62140000000983)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,5.041,2428.19,7202.00,"Westminster, MD 211577120
(39.55741999973338, -76.98679999991992)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,4.953,2433.00,7076.15,"St. Michaels, MD 216632452
(38.78567000007064, -76.22500000044948)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.091,2645.34,7272.40,"Kensington, MD 208952718
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.032,2476.15,7188.98,"Rockville, MD 208503717
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.005,1101.36,7150.00,"Berwyn Heights, MD 207402633
(38.99670000020501, -76.92859999959018)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,5.043,2586.69,7204.84,"St. Michaels, MD 216632468
(38.78567000007064, -76.22500000044948)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,5.094,2473.69,7277.00,"Baltimore, MD 212102104
(39.35001999972337, -76.63188000036155)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.142,2592.88,7345.00,"Rockville, MD 208501250
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,5.13,2006.00,7329.00,"Baltimore, MD 212111411
(39.33225999999917, -76.63515000007231)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,5.229,1600.00,7470.00,"Baltimore, MD 212252506
(39.23261999971339, -76.61557999961713)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.135,2667.25,7335.00,"Rockville, MD 208511523
(39.07642000008309, -77.1214399999559)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,5.124,2539.50,7320.00,"Rosedale, MD 212373356
(39.342430000444324, -76.49219999992988)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.34,1723.41,7628.80,"Silver Spring, MD 209055938
(39.106229999714856, -76.99006999963063)"
