Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.143,549.04,1633.00,"Phoenix, MD 211311836
(39.50694000018103, -76.56867000012028)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,1.13,566.90,1614.00,"Berlin, MD 218111692
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,1.152,626.75,1645.00,"Frederick, MD 217023015
(39.44454000042083, -77.44032999992942)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,1.145,637.25,1635.00,"Ocean City, MD 218424770
(38.391550000432346, -75.07021000039106)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.125,613.63,1607.50,"Damascus, MD 208722369
(39.28261999961347, -77.21232999962962)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.112,555.79,1588.00,"Severna Park, MD 211463714
(39.080199999930244, -76.5567400003506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,1.156,555.61,1651.76,"Havre De Grace, MD 210781301
(39.55121999980332, -76.11321000014124)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.113,534.00,1590.00,"Annapolis, MD 214016820
(38.983799999770326, -76.52959999974007)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,1.13,630.20,1614.86,"Stevensville, MD 216662447
(38.947400000209996, -76.33155000013227)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.257,555.00,1795.00,"Reisterstown, MD 211366479
(39.461190000218494, -76.81506999998038)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.225,712.50,1750.00,"Poolesville, MD 208378585
(39.13448999981381, -77.40736000026362)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.178,559.54,1682.31,"Bethesda, MD 208163139
(38.9582699996609, -77.11435999991392)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.19,642.50,1700.00,"Rockville, MD 208523543
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.172,585.90,1674.00,"Oxon Hill, MD 207453646
(38.80929000023349, -76.99043999960617)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.223,711.61,1747.49,"Bethesda, MD 208173254
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.218,674.00,1740.00,"Derwood, MD 208551208
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.221,675.28,1743.65,"Bethesda, MD 208161617
(38.9582699996609, -77.11435999991392)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.303,651.29,1860.85,"Rockville, MD 208503572
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,1.298,648.90,1854.00,"Columbia, MD 210441812
(39.21588000026196, -76.87450999993638)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.347,633.45,1924.16,"Germantown, MD 208745003
(39.166079999692386, -77.2739700003151)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.268,576.35,1811.00,"Monkton, MD 211111401
(39.57619000016854, -76.59155999989395)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,1.365,782.50,1950.00,"Thurmont, MD 217882908
(39.603920000108076, -77.40742999989442)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.26,607.50,1800.00,"Deale, MD 207519719
(38.78384999977783, -76.55258000006683)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,1.364,764.80,1948.00,"Ocean Pines, MD 218113812
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.288,709.00,1840.00,"Silver Spring, MD 209014266
(39.01626999976082, -77.00851000013625)"
